Name,Team,KaD,MK,Opk,Clt_won,Bmb_act,Trading,Eff_flash,Utility,Map,Year,Map_Type,Event,Self,Teamplay,Support,Rating,Placement
FalleN,MIBR,0.375,0,1,0,0,1,1.721,0.28,de_dust2,16-09-2018,BO1,FACEIT Major 2018,0.375,1,3.001,0.641,3-4th
dupreeh,Astralis,5.25,3,1,1,0.35,1.8,2.219,0.28,de_dust2,16-09-2018,BO1,FACEIT Major 2018,8.25,2.35,4.299,1.173,1st
Magisk,Astralis,2.4,0,0.5,0,0.105,1.4,1.187,0.24,de_dust2,16-09-2018,BO1,FACEIT Major 2018,2.4,0.605,2.827,0.766,1st
Stewie2K,MIBR,0.625,3,0.25,0,0.105,1.6,2.259,0.31,de_dust2,16-09-2018,BO1,FACEIT Major 2018,3.625,0.355,4.169,0.911,3-4th
coldzera,MIBR,0.375,1,0,0,0,3.8,0.896,0.26,de_dust2,16-09-2018,BO1,FACEIT Major 2018,1.375,0,4.956,0.801,3-4th
tarik,MIBR,0.625,4,1,0,0.105,2,2.867,0.3,de_dust2,16-09-2018,BO1,FACEIT Major 2018,4.625,1.105,5.167,1.037,3-4th
fer,MIBR,0.25,0,0,0,0.105,2.2,0.762,0.2,de_dust2,16-09-2018,BO1,FACEIT Major 2018,0.25,0.105,3.162,0.546,3-4th
Xyp9x,Astralis,1.909,4,1,0,0,4.2,1.372,0.39,de_dust2,16-09-2018,BO1,FACEIT Major 2018,5.909,1,5.962,1.11,1st
ropz,MOUZ,2.429,4,1,0,0.105,5.6,0.793,0.38,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,6.429,1.105,6.773,1.156,5-8th
Kjaerbye,Astralis,0.75,3,1.25,0,0,1.4,0.62,0.23,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,3.75,1.25,2.25,0.86,9-12th
Xyp9x,Astralis,0.643,2,1,0,0,2,0.773,0.3,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,2.643,1,3.073,0.827,9-12th
STYKO,MOUZ,1.7,4,1,0,0.35,1.2,1.393,0.47,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,5.7,1.35,3.063,1.005,5-8th
device,Astralis,0.667,1,0,0,0,1.6,1.233,0.18,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,1.667,0,3.013,0.67,9-12th
dupreeh,Astralis,0.714,2,1,0,0,0.4,1.55,0.16,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,2.714,1,2.11,0.765,9-12th
gla1ve,Astralis,0.562,1,1,0,0,1.2,1.498,0.32,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,1.562,1,3.018,0.747,9-12th
oskar,MOUZ,6.5,8,1,0,0.35,3.4,2.592,0.4,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,14.5,1.35,6.392,1.347,5-8th
suNny,MOUZ,1.727,4,1.333,0,0.105,1,1.225,0.53,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,5.727,1.438,2.755,0.997,5-8th
chrisJ,MOUZ,0.818,1,0.6,0,0.35,0.2,0.94,0.43,de_cache,20-01-2018,BO1,ELEAGUE Major 2018,1.818,0.95,1.57,0.637,5-8th
gla1ve,Astralis,1.5,2,0,0,0,2,1.785,0.31,de_mirage,02-03-2019,BO1,IEM Katowice 2019,3.5,0,4.095,0.881,1st
Magisk,Astralis,3.125,6,1,0,0,2.2,0.625,0.35,de_mirage,02-03-2019,BO1,IEM Katowice 2019,9.125,1,3.175,1.124,1st
REZ,NIP,0.625,3,1,0,0,2.8,0.682,0.24,de_mirage,02-03-2019,BO1,IEM Katowice 2019,3.625,1,3.722,0.922,5-8th
f0rest,NIP,0.6,3,0,0,0,2,1.662,0.27,de_mirage,02-03-2019,BO1,IEM Katowice 2019,3.6,0,3.932,0.877,5-8th
dennis,NIP,0.412,2,1,0,0.105,2,1.297,0.23,de_mirage,02-03-2019,BO1,IEM Katowice 2019,2.412,1.105,3.527,0.848,5-8th
dupreeh,Astralis,2.625,3,1.5,0,0.105,1.2,1.137,0.19,de_mirage,02-03-2019,BO1,IEM Katowice 2019,5.625,1.605,2.527,0.989,1st
GeT_RiGhT,NIP,0.167,0,0.5,0,0.105,0.6,1.792,0.35,de_mirage,02-03-2019,BO1,IEM Katowice 2019,0.167,0.605,2.742,0.546,5-8th
Xyp9x,Astralis,6.667,4,1,1,0.221,3.4,2.082,0.34,de_mirage,02-03-2019,BO1,IEM Katowice 2019,10.667,2.221,5.822,1.272,1st
Lekr0,NIP,0.706,3,0.667,0,0.105,2,0.899,0.27,de_mirage,02-03-2019,BO1,IEM Katowice 2019,3.706,0.772,3.169,0.883,5-8th
device,Astralis,2.571,3,1,0,0.105,1.8,1.309,0.25,de_mirage,02-03-2019,BO1,IEM Katowice 2019,5.571,1.105,3.359,1.002,1st
GeT_RiGhT,NIP,0.909,3,0,0,0.105,5,3.867,0.7,de_dust2,02-03-2019,BO1,IEM Katowice 2019,3.909,0.105,9.567,1.133,5-8th
Magisk,Astralis,1.615,3,1.333,1,0.35,4.6,1.895,0.57,de_dust2,02-03-2019,BO1,IEM Katowice 2019,4.615,2.683,7.065,1.157,1st
REZ,NIP,1.278,5,1.5,0,0.649,2.8,2.261,0.55,de_dust2,02-03-2019,BO1,IEM Katowice 2019,6.278,2.149,5.611,1.147,5-8th
device,Astralis,1.412,4,1.833,0,0,1.6,4.361,0.47,de_dust2,02-03-2019,BO1,IEM Katowice 2019,5.412,1.833,6.431,1.136,1st
Xyp9x,Astralis,1.3,7,0.833,0,1.014,2,6.435,0.68,de_dust2,02-03-2019,BO1,IEM Katowice 2019,8.3,1.847,9.115,1.285,1st
gla1ve,Astralis,0.882,2,0.5,0,0.221,3,4.604,0.71,de_dust2,02-03-2019,BO1,IEM Katowice 2019,2.882,0.721,8.314,1.076,1st
Lekr0,NIP,0.85,4,0.429,0,0,2.6,2.671,0.45,de_dust2,02-03-2019,BO1,IEM Katowice 2019,4.85,0.429,5.721,1.041,5-8th
f0rest,NIP,1.538,3,1,0,0.649,2.2,3.728,0.59,de_dust2,02-03-2019,BO1,IEM Katowice 2019,4.538,1.649,6.518,1.104,5-8th
dennis,NIP,0.905,3,0.6,0,0.221,2.4,2.847,0.64,de_dust2,02-03-2019,BO1,IEM Katowice 2019,3.905,0.821,5.887,1.026,5-8th
dupreeh,Astralis,0.952,5,1.25,0,0,3.8,2.031,0.4,de_dust2,02-03-2019,BO1,IEM Katowice 2019,5.952,1.25,6.231,1.128,1st
cajunb,North,0.783,2,1,1,0.492,3.6,1.718,0.26,de_train,21-01-2018,BO1,ELEAGUE Major 2018,2.783,2.492,5.578,1.036,13-16th
k0nfig,North,0.72,1,0.583,0,0.221,1,0.893,0.36,de_train,21-01-2018,BO1,ELEAGUE Major 2018,1.72,0.804,2.253,0.679,13-16th
Xyp9x,Astralis,1.375,3,0.6,1,0.35,2.2,3.418,0.69,de_train,21-01-2018,BO1,ELEAGUE Major 2018,4.375,1.95,6.308,1.102,9-12th
dupreeh,Astralis,1.611,7,1.417,0,0.649,1.2,1.115,0.3,de_train,21-01-2018,BO1,ELEAGUE Major 2018,8.611,2.066,2.615,1.124,9-12th
gla1ve,Astralis,1.375,5,1,0,0.221,1.8,1.331,0.67,de_train,21-01-2018,BO1,ELEAGUE Major 2018,6.375,1.221,3.801,1.057,9-12th
aizy,North,1.111,6,0.5,1,0.105,3.4,0.605,0.44,de_train,21-01-2018,BO1,ELEAGUE Major 2018,7.111,1.605,4.445,1.119,13-16th
v4lde,North,0.696,2,1,0,0.221,2.2,1.565,0.57,de_train,21-01-2018,BO1,ELEAGUE Major 2018,2.696,1.221,4.335,0.917,13-16th
MSL,North,1.083,7,0.933,0,0.35,3,2.791,0.44,de_train,21-01-2018,BO1,ELEAGUE Major 2018,8.083,1.283,6.231,1.193,13-16th
Kjaerbye,Astralis,1.706,7,1.25,0,0.105,4.4,3.618,0.62,de_train,21-01-2018,BO1,ELEAGUE Major 2018,8.706,1.355,8.638,1.272,9-12th
device,Astralis,1.529,2,0.75,0,0.221,1.2,0.528,0.53,de_train,21-01-2018,BO1,ELEAGUE Major 2018,3.529,0.971,2.258,0.83,9-12th
stanislaw,NRG,1.342,13,1.286,1,2.004,6,9.611,1.49,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,14.342,4.29,17.101,1.553,3-4th
Magisk,Astralis,1.116,10,1.167,1,0.221,7.6,2.325,1.03,de_train,31-08-2019,BO1,StarLadder Major Berlin 2019,11.116,2.388,10.955,1.388,1st
